gameweek,season,name,deadline_time,average_score,highest_score,highest_scoring_entry,finished,data_checked,is_previous,is_current,is_next,cup_leagues_created,h2h_ko_matches_created,can_enter,can_manage,released,ranked_count,transfers_made,most_selected,most_transferred_in,top_element,top_element_info
25,2223,Gameweek 25,2023-02-25 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
26,2223,Gameweek 26,2023-03-04 17:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
27,2223,Gameweek 27,2023-03-12 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
28,2223,Gameweek 28,2023-03-18 15:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
29,2223,Gameweek 29,2023-04-02 13:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
30,2223,Gameweek 30,2023-04-08 16:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
31,2223,Gameweek 31,2023-04-15 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
32,2223,Gameweek 32,2023-04-21 19:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
33,2223,Gameweek 33,2023-04-27 18:45:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
34,2223,Gameweek 34,2023-04-30 13:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
35,2223,Gameweek 35,2023-05-08 19:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
36,2223,Gameweek 36,2023-05-13 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
37,2223,Gameweek 37,2023-05-21 13:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
38,2223,Gameweek 38,2023-05-28 15:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
1,2324,Gameweek 1,2023-08-12 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
2,2324,Gameweek 2,2023-08-18 18:45:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
3,2324,Gameweek 3,2023-08-27 13:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
4,2324,Gameweek 4,2023-09-02 11:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
5,2324,Gameweek 5,2023-09-16 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
6,2324,Gameweek 6,2023-09-24 15:30:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
7,2324,Gameweek 7,2023-09-30 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
8,2324,Gameweek 8,2023-10-07 14:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
9,2324,Gameweek 9,2023-10-21 19:00:00,,,,t,t,f,f,f,f,f,f,f,f,,,,,,
